# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database
# DB Description,Credential Affiliations
# Table,psl_extensions
# Table Description,psl_extensions
# Total Rows in DB,607
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,98f842308ecd3f8294f4be9e56674791

domain,domain__DOMAIN,domain__CATEGORY
workvivo.co,workvivo.co,Other
workvivo.com,workvivo.com,Other
wsdk.whaleapp.com,wsdk.whaleapp.com,Other
xemplarinsights.com,xemplarinsights.com,Other
yorapp.it,yorapp.it,Other
yqme.com.au,yqme.com.au,Other
zehitech.net,zehitech.net,Other
zerista.com,zerista.com,Other
zohobackstage.com,zohobackstage.com,Other
zohobackstage.eu,zohobackstage.eu,Other
zohocreatorportal.com,zohocreatorportal.com,Other
zoom.us,zoom.us,Other
zur-app.de,zur-app.de,Other
zvendostore.com,zvendostore.com,Other
